amount,contributor_name,date,honoree_name,state,country
1000.00,"VERSAGE, VINCENT",2013-03-26,Tulsi Gabbard,DC,US
1000.00,"VERSAGE, VINCENT",2013-03-26,Colleen Hanabusa,DC,US
500.00,"GUN OWNERS OF AMERICA, INC. POLITICAL VICTORY FUND",2011-12-21,Steve Daines for Montana,VA,US
85.00,"GUN OWNERS OF AMERICA, INC. POLITICAL VICTORY FUND",2011-12-21,Steve Daines for Montana,VA,US
250.00,"MORRIS, LINDSAY A",2013-05-29,Republican Women Candidates for Congress,DC,US
100.00,"HALE, PHILIP",2013-02-18,Robin Kelly,IL,US
500.00,"PETERS, BRIAN",2013-06-28,Jessica Erlich,DC,US
500.00,"PETERS, BRIAN",2013-06-28,Denny Heck,DC,US
500.00,"PETERS, BRIAN",2013-06-06,Derek Kilmer,DC,US
2500.00,"PETERS, BRIAN",2013-02-04,Mark Udall,DC,US
250.00,"PETERS, BRIAN",2013-06-28,Joaquin Castro for Congress,DC,US
500.00,"PETERS, BRIAN",2013-04-23,Suzanne Bonamici,DC,US
500.00,"PETERS, BRIAN",2013-06-28,Kyrsten Sinema,DC,US
250.00,"PETERS, BRIAN",2013-03-25,Denny Heck,DC,US
500.00,"PETERS, BRIAN",2013-06-28,Scott Peters,DC,US
500.00,"PETERS, BRIAN",2013-04-29,Ed Markey,DC,US
1000.00,"PETERS, BRIAN",2013-03-25,Eric Swalwell,DC,US
500.00,"PETERS, BRIAN",2013-06-28,Jim Clyburn,DC,US
350.00,"PETERS, STEPHANIE",2013-01-15,MS PAC,DC,US
250.00,"PETERS, STEPHANIE",2013-05-31,Democratic Congressional Campaign Committee,DC,US
100.00,"COWAN, JOYCE AILEEN",2013-03-29,Brad Schneider,DC,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Tom Petri,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-26,Rep. Brad Wenstrup,VA,US
3500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Sen. Barbara Mikulski,VA,US
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-01-23,Rep. Buck McKeon,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Sen. Jeff Flake,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-19,Rep. Adam Smith,VA,US
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-12,Sen. Richard Shelby,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-26,Sen. James Inhofe,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-01-11,Tulsi Gabbard,VA,US
1500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-06,Sen. Mark Begich,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Sen. Mary Landrieu,VA,US
1500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Gregg Harper,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Rodney Frelinghuysen,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-18,Sen. Thad Cochran,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Sen. Jack Reed,VA,US
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Patrick A Nunnelee,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-04-22,Sen. Mazie Hirono,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-18,Rep. Frank Wolf,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Jeff Denham,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-26,Rep. Bill Shuster,VA,US
500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-27,Rep. Mike Pompeo,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-06,Rep. Buck McKeon,VA,US
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Steven Palazzo,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-01-23,"Rep. Josiah Robbins Bonner, Jr.",VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Michael D. Rogers (AL),VA,US
