Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Gender,Bill
283,E000071,"Ellzey, Jake",Republican,Texas,https://api.congress.gov/v3/member/E000071?format=json,6.0,,,2021.0,,M,4.0
284,C001128,"Conway, Connie",Republican,California,https://api.congress.gov/v3/member/C001128?format=json,22.0,,,2022.0,2023.0,U,1.0
285,C001127,"Cherfilus-McCormick, Sheila",Democratic,Florida,https://api.congress.gov/v3/member/C001127?format=json,20.0,,,2022.0,,F,7.0
286,C001125,"Carter, Troy",Democratic,Louisiana,https://api.congress.gov/v3/member/C001125?format=json,2.0,,,2021.0,,M,26.0
287,Z000018,"Zinke, Ryan K.",Republican,Montana,https://api.congress.gov/v3/member/Z000018?format=json,1.0,,,2015.0,2017.0,M,26.0
288,L000594,"Loeffler, Kelly",Republican,Georgia,https://api.congress.gov/v3/member/L000594?format=json,,2021.0,2020.0,,,F,57.0
289,W000827,"Wright, Ron",Republican,Texas,https://api.congress.gov/v3/member/W000827?format=json,6.0,,,2019.0,2021.0,M,14.0
290,D000630,"Delgado, Antonio",Democratic,New York,https://api.congress.gov/v3/member/D000630?format=json,19.0,,,2019.0,2022.0,M,60.0
291,H001080,"Haaland, Debra A.",Democratic,New Mexico,https://api.congress.gov/v3/member/H001080?format=json,1.0,,,2019.0,2021.0,F,55.0
292,H001088,"Hagedorn, Jim",Republican,Minnesota,https://api.congress.gov/v3/member/H001088?format=json,1.0,,,2019.0,2022.0,M,12.0
293,C001111,"Crist, Charlie",Democratic,Florida,https://api.congress.gov/v3/member/C001111?format=json,13.0,,,2017.0,2022.0,M,69.0
294,H001075,"Harris, Kamala D.",Democratic,California,https://api.congress.gov/v3/member/H001075?format=json,,2021.0,2017.0,,,F,164.0
295,V000132,"Vela, Filemon",Democratic,Texas,https://api.congress.gov/v3/member/V000132?format=json,34.0,,,2013.0,2022.0,M,55.0
296,D000610,"Deutch, Theodore E.",Democratic,Florida,https://api.congress.gov/v3/member/D000610?format=json,22.0,,,2010.0,2022.0,M,173.0
297,S001187,"Stivers, Steve",Republican,Ohio,https://api.congress.gov/v3/member/S001187?format=json,15.0,,,2011.0,2021.0,M,120.0
298,R000588,"Richmond, Cedric L.",Democratic,Louisiana,https://api.congress.gov/v3/member/R000588?format=json,2.0,,,2011.0,2021.0,M,93.0
299,F000455,"Fudge, Marcia L.",Democratic,Ohio,https://api.congress.gov/v3/member/F000455?format=json,11.0,,,2008.0,2021.0,F,116.0
300,F000449,"Fortenberry, Jeff",Republican,Nebraska,https://api.congress.gov/v3/member/F000449?format=json,1.0,,,2005.0,2022.0,M,173.0
301,N000181,"Nunes, Devin",Republican,California,https://api.congress.gov/v3/member/N000181?format=json,22.0,,,2003.0,2022.0,M,125.0
302,H000324,"Hastings, Alcee L.",Democratic,Florida,https://api.congress.gov/v3/member/H000324?format=json,20.0,,,1993.0,2021.0,U,530.0
303,C001126,"Carey, Mike",Republican,Ohio,https://api.congress.gov/v3/member/C001126?format=json,15.0,,,2021.0,,M,3.0
304,B001313,"Brown, Shontel M.",Democratic,Ohio,https://api.congress.gov/v3/member/B001313?format=json,11.0,,,2021.0,,U,8.0
305,L000595,"Letlow, Julia",Republican,Louisiana,https://api.congress.gov/v3/member/L000595?format=json,5.0,,,2021.0,,F,6.0
306,O000019,"Obernolte, Jay",Republican,California,https://api.congress.gov/v3/member/O000019?format=json,23.0,,,2021.0,,M,26.0
307,K000397,"Kim, Young",Republican,California,https://api.congress.gov/v3/member/K000397?format=json,40.0,,,2021.0,,F,29.0
308,C001054,"Carl, Jerry L.",Republican,Alabama,https://api.congress.gov/v3/member/C001054?format=json,1.0,,,2021.0,,M,13.0
309,W000788,"Williams, Nikema",Democratic,Georgia,https://api.congress.gov/v3/member/W000788?format=json,5.0,,,2021.0,,F,63.0
310,V000134,"Van Duyne, Beth",Republican,Texas,https://api.congress.gov/v3/member/V000134?format=json,24.0,,,2021.0,,F,36.0
311,T000486,"Torres, Ritchie",Democratic,New York,https://api.congress.gov/v3/member/T000486?format=json,15.0,,,2021.0,,M,70.0
312,S001159,"Strickland, Marilyn",Democratic,Washington,https://api.congress.gov/v3/member/S001159?format=json,10.0,,,2021.0,,F,16.0
313,S001135,"Steel, Michelle",Republican,California,https://api.congress.gov/v3/member/S001135?format=json,45.0,,,2021.0,,F,30.0
314,S000929,"Spartz, Victoria",Republican,Indiana,https://api.congress.gov/v3/member/S000929?format=json,5.0,,,2021.0,,F,14.0
315,S000168,"Salazar, Maria Elvira",Republican,Florida,https://api.congress.gov/v3/member/S000168?format=json,27.0,,,2021.0,,F,27.0
316,R000305,"Ross, Deborah K.",Democratic,North Carolina,https://api.congress.gov/v3/member/R000305?format=json,2.0,,,2021.0,,F,31.0
317,R000103,"Rosendale Sr., Matthew M.",Republican,Montana,https://api.congress.gov/v3/member/R000103?format=json,2.0,,,2021.0,,M,47.0
318,P000048,"Pfluger, August",Republican,Texas,https://api.congress.gov/v3/member/P000048?format=json,11.0,,,2021.0,,M,46.0
319,O000086,"Owens, Burgess",Republican,Utah,https://api.congress.gov/v3/member/O000086?format=json,4.0,,,2021.0,,M,22.0
320,N000026,"Nehls, Troy E.",Republican,Texas,https://api.congress.gov/v3/member/N000026?format=json,22.0,,,2021.0,,M,34.0
321,M001214,"Mrvan, Frank J.",Democratic,Indiana,https://api.congress.gov/v3/member/M001214?format=json,1.0,,,2021.0,,M,10.0
322,M001213,"Moore, Blake D.",Republican,Utah,https://api.congress.gov/v3/member/M001213?format=json,1.0,,,2021.0,,M,22.0
323,M001212,"Moore, Barry",Republican,Alabama,https://api.congress.gov/v3/member/M001212?format=json,2.0,,,2021.0,,M,15.0
324,M001211,"Miller, Mary E.",Republican,Illinois,https://api.congress.gov/v3/member/M001211?format=json,15.0,,,2021.0,,F,15.0
325,M001136,"McClain, Lisa C.",Republican,Michigan,https://api.congress.gov/v3/member/M001136?format=json,9.0,,,2021.0,,F,27.0
326,M001135,"Manning, Kathy E.",Democratic,North Carolina,https://api.congress.gov/v3/member/M001135?format=json,6.0,,,2021.0,,F,13.0
