,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle
380,C001057,"Coleman, Norm",Republican,Minnesota,,2009.0,2003.0,,,N,,6.0,,Y,N,,,Coleman,Norm,
381,A000360,"Alexander, Lamar",Republican,Tennessee,,2021.0,2003.0,,,N,,18.0,,Y,N,,,Alexander,Lamar,
382,B001237,"Barkley, Dean M.",Independent,Minnesota,,2003.0,2002.0,,,N,,1.0,,Y,N,,,Barkley,Dean,M.
383,C001043,"Carnahan, Jean",Democratic,Missouri,,2002.0,2001.0,,,N,,1.0,,Y,N,,,Carnahan,Jean,
384,F000444,"Flake, Jeff",Republican,Arizona,,2019.0,2013.0,2001.0,2013.0,N,N,6.0,12.0,Y,Y,,,Flake,Jeff,
385,C001042,"Corzine, Jon S.",Democratic,New Jersey,,2006.0,2001.0,,,N,,5.0,,Y,N,,,Corzine,Jon,S.
386,N000180,"Nelson, Ben",Democratic,Nebraska,,2013.0,2001.0,,,N,,12.0,,Y,N,,,Nelson,Ben,
387,D000596,"Dayton, Mark",Democratic,Minnesota,,2007.0,2001.0,,,N,,6.0,,Y,N,,,Dayton,Mark,
388,M001141,"Miller, Zell",Democratic,Georgia,,2005.0,2000.0,,,N,,5.0,,Y,N,,,Miller,Zell,
389,C001040,"Chafee, Lincoln",Republican,Rhode Island,,2007.0,1999.0,,,N,,8.0,,Y,N,,,Chafee,Lincoln,
390,C000858,"Craig, Larry E.",Republican,Idaho,,2009.0,1991.0,1981.0,1991.0,N,N,18.0,10.0,Y,Y,,,Craig,Larry,E.
391,C000598,"Cohen, William S.",Republican,Maine,,1997.0,1979.0,1973.0,1979.0,N,N,18.0,6.0,Y,Y,,,Cohen,William,S.
392,C000560,"Coburn, Tom",Republican,Oklahoma,,2015.0,2005.0,1995.0,2001.0,N,N,10.0,6.0,Y,Y,,,Coburn,Tom,
393,C000542,"Coats, Daniel",Republican,Indiana,,1999.0,1989.0,1981.0,1989.0,N,N,10.0,8.0,Y,Y,,,Coats,Daniel,
394,C000286,"Chambliss, Saxby",Republican,Georgia,,2015.0,2003.0,1995.0,2003.0,N,N,12.0,8.0,Y,Y,,,Chambliss,Saxby,
