,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year
1189,T000265,"Tiernan, Robert O.",Democratic,Rhode Island,https://api.congress.gov/v3/member/T000265?format=json,2.0,,,1967,1975
1190,T000260,"Tiahrt, Todd",Republican,Kansas,https://api.congress.gov/v3/member/T000260?format=json,4.0,,,1995,2011
1191,T000253,"Thurman, Karen L.",Democratic,Florida,https://api.congress.gov/v3/member/T000253?format=json,5.0,,,1993,2003
1192,T000243,"Thornton, Ray",Democratic,Arkansas,https://api.congress.gov/v3/member/T000243?format=json,2.0,,,1973,1979
1193,T000238,"Thornberry, Mac",Republican,Texas,https://api.congress.gov/v3/member/T000238?format=json,13.0,,,1995,2021
1194,T000234,"Thone, Charles",Republican,Nebraska,https://api.congress.gov/v3/member/T000234?format=json,1.0,,,1971,1979
1195,T000233,"Thomson, Vernon W.",Republican,Wisconsin,https://api.congress.gov/v3/member/T000233?format=json,3.0,,,1961,1975
1196,T000200,"Thompson, Frank, Jr.",Democratic,New Jersey,https://api.congress.gov/v3/member/T000200?format=json,4.0,,,1955,1981
1197,T000193,"Thompson, Bennie G.",Democratic,Mississippi,https://api.congress.gov/v3/member/T000193?format=json,2.0,,,1993,
1198,T000184,"Thomas, Lindsay",Democratic,Georgia,https://api.congress.gov/v3/member/T000184?format=json,1.0,,,1983,1993
1199,T000162,"Thomas, Craig",Republican,Wyoming,https://api.congress.gov/v3/member/T000162?format=json,,2007,1995,1989,1995
1200,T000188,"Thomas, William M.",Republican,California,https://api.congress.gov/v3/member/T000188?format=json,22.0,,,1979,2007
1201,T000113,"Tejeda, Frank",Democratic,Texas,https://api.congress.gov/v3/member/T000113?format=json,28.0,,,1993,1999
1202,T000110,"Teague, Olin E.",Democratic,Texas,https://api.congress.gov/v3/member/T000110?format=json,6.0,,,1945,1979
1203,T000109,"Teague, Charles M.",Republican,California,https://api.congress.gov/v3/member/T000109?format=json,13.0,,,1955,1975
1204,T000099,"Taylor, Roy A.",Democratic,North Carolina,https://api.congress.gov/v3/member/T000099?format=json,11.0,,,1959,1977
1205,T000075,"Taylor, G.",Republican,Missouri,https://api.congress.gov/v3/member/T000075?format=json,7.0,,,1973,1989
1206,T000074,"Taylor, Gene",Democratic,Mississippi,https://api.congress.gov/v3/member/T000074?format=json,4.0,,,1989,2011
1207,T000067,"Taylor, Charles H.",Republican,North Carolina,https://api.congress.gov/v3/member/T000067?format=json,11.0,,,1991,2007
1208,T000058,"Tauzin, W. J. (Billy)",Republican,Louisiana,https://api.congress.gov/v3/member/T000058?format=json,3.0,,,1979,2005
