,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House
1596,R000295,"Robb, Charles S.",Democratic,Virginia,https://api.congress.gov/v3/member/R000295?format=json,,2001.0,1989.0,,,N,,12.0,,Y,N
1597,R000191,"Ribicoff, Abraham A.",Democratic,Connecticut,https://api.congress.gov/v3/member/R000191?format=json,,1981.0,1963.0,1949.0,1953.0,N,N,18.0,4.0,Y,Y
1598,R000046,"Randolph, Jennings",Democratic,West Virginia,https://api.congress.gov/v3/member/R000046?format=json,,1985.0,1957.0,1933.0,1947.0,N,N,28.0,14.0,Y,Y
1599,P000556,"Pryor, David H.",Democratic,Arkansas,https://api.congress.gov/v3/member/P000556?format=json,,1997.0,1979.0,1965.0,1973.0,N,N,18.0,8.0,Y,Y
1600,P000553,"Proxmire, William",Democratic,Wisconsin,https://api.congress.gov/v3/member/P000553?format=json,,1989.0,1957.0,,,N,,32.0,,Y,N
1601,P000222,"Percy, Charles H.",Republican,Illinois,https://api.congress.gov/v3/member/P000222?format=json,,1985.0,1967.0,,,N,,18.0,,Y,N
1602,P000193,"Pell, Claiborne",Democratic,Rhode Island,https://api.congress.gov/v3/member/P000193?format=json,,1997.0,1961.0,,,N,,36.0,,Y,N
1603,P000166,"Pearson, James B.",Republican,Kansas,https://api.congress.gov/v3/member/P000166?format=json,,1979.0,1961.0,,,N,,18.0,,Y,N
1604,P000100,"Pastore, John O.",Democratic,Rhode Island,https://api.congress.gov/v3/member/P000100?format=json,,1977.0,1949.0,,,N,,28.0,,Y,N
1605,P000009,"Packwood, Bob",Republican,Oregon,https://api.congress.gov/v3/member/P000009?format=json,,1997.0,1969.0,,,N,,28.0,,Y,N
1606,N000171,"Nunn, Sam",Democratic,Georgia,https://api.congress.gov/v3/member/N000171?format=json,,1997.0,1971.0,,,N,,26.0,,Y,N
1607,N000102,"Nickles, Don",Republican,Oklahoma,https://api.congress.gov/v3/member/N000102?format=json,,2005.0,1981.0,,,N,,24.0,,Y,N
1608,N000033,"Nelson, Gaylord",Democratic,Wisconsin,https://api.congress.gov/v3/member/N000033?format=json,,1981.0,1963.0,,,N,,18.0,,Y,N
1609,M001121,"Muskie, Edmund S.",Democratic,Maine,https://api.congress.gov/v3/member/M001121?format=json,,1981.0,1959.0,,,N,,22.0,,Y,N
1610,M001085,"Murkowski, Frank H.",Republican,Alaska,https://api.congress.gov/v3/member/M001085?format=json,,2002.0,1981.0,,,N,,21.0,,Y,N
1611,M001054,"Moynihan, Daniel Patrick",Democratic,New York,https://api.congress.gov/v3/member/M001054?format=json,,2001.0,1977.0,,,N,,24.0,,Y,N
1612,M001033,"Moss, Frank E.",Democratic,Utah,https://api.congress.gov/v3/member/M001033?format=json,,1977.0,1959.0,,,N,,18.0,,Y,N
1613,M001025,"Moseley-Braun, Carol",Democratic,Illinois,https://api.congress.gov/v3/member/M001025?format=json,,1999.0,1993.0,,,N,,6.0,,Y,N
